Class ID	Preferred Label	Synonyms	Definitions	Obsolete	CUI	Semantic Types	Parents	Citation	Created in	Documentation	Example	File extension	has format	has function	has identifier	has input	has output	has topic	Hide in subset	http://data.bioontology.org/metadata/prefixIRI	http://edamontology.org/next_id	http://edamontology.org/noClue	http://purl.obolibrary.org/obo/date	http://purl.obolibrary.org/obo/default-relationship-id-prefix	http://purl.obolibrary.org/obo/edam#data	http://purl.obolibrary.org/obo/edam#edam	http://purl.obolibrary.org/obo/edam#events	http://purl.obolibrary.org/obo/edam#formats	http://purl.obolibrary.org/obo/edam#identifiers	http://purl.obolibrary.org/obo/edam#obsolete	http://purl.obolibrary.org/obo/edam#operations	http://purl.obolibrary.org/obo/edam#topics	http://purl.obolibrary.org/obo/idspace	http://purl.obolibrary.org/obo/is_anti_symmetric	http://purl.obolibrary.org/obo/is_metadata_tag	http://purl.obolibrary.org/obo/is_reflexive	http://purl.obolibrary.org/obo/is_symmetric	http://purl.obolibrary.org/obo/namespace	http://purl.obolibrary.org/obo/remark	http://purl.obolibrary.org/obo/transitive_over	http://purl.org/dc/elements/1.1/contributor	http://purl.org/dc/elements/1.1/creator	http://purl.org/dc/elements/1.1/format	http://purl.org/dc/elements/1.1/title	http://usefulinc.com/ns/doap#Version	http://www.geneontology.org/formats/oboInOwl#consider	http://www.geneontology.org/formats/oboInOwl#hasAlternativeId	http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym	http://www.geneontology.org/formats/oboInOwl#hasDbXref	http://www.geneontology.org/formats/oboInOwl#hasDefinition	http://www.geneontology.org/formats/oboInOwl#hasExactSynonym	http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym	http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym	http://www.geneontology.org/formats/oboInOwl#hasSubset	http://www.geneontology.org/formats/oboInOwl#inSubset	http://www.geneontology.org/formats/oboInOwl#isCyclic	http://www.geneontology.org/formats/oboInOwl#replacedBy	http://www.geneontology.org/formats/oboInOwl#savedBy	http://www.geneontology.org/formats/oboInOwl#SubsetProperty	http://xmlns.com/foaf/0.1/page	is format of	is function of	is identifier of	is input of	is output of	is topic of	isdebtag	Media type	Obsolete since	Regular expression	Related term
http://edamontology.org/data__RCOwaNKaK3gFcUhkjBq7aor	Image data	Image	"So far consensus: Primary term Image data, exact synonym Image, meaning image or a set of (related) images (forming e.g. a stack or a time-lapse). No synonyms for stacks and ""movies"", these should be specialised concepts."	FALSE			http://edamontology.org/data_0006													data__RCOwaNKaK3gFcUhkjBq7aor																															Image				bioimaging|data|edam																
http://edamontology.org/data__RCRp3XI62rYeU9aZHw4yBvj	Region properties			FALSE			http://edamontology.org/data_0006													data__RCRp3XI62rYeU9aZHw4yBvj																																			bioimaging|data|edam																
http://edamontology.org/data__RDcwcMJia2DgGNXx2JKa8Oc	Image bit depth			FALSE			http://edamontology.org/data_Image_geometry													data__RDcwcMJia2DgGNXx2JKa8Oc																																			bioimaging|data|edam																
http://edamontology.org/data__RDLZjniM2p9bxNi1Md2Vqv3	Spectral image resolution			FALSE			http://edamontology.org/data__RCDMkOl5gzD23OFsPf6vr4a													data__RDLZjniM2p9bxNi1Md2Vqv3																																			bioimaging|data|edam																
http://edamontology.org/data__RDr5D5pOVdnB8hASL1LG8HH	Image radiometric noise			FALSE			http://edamontology.org/data__RCjZhkavxxifpvdNiasVVCc													data__RDr5D5pOVdnB8hASL1LG8HH																																			bioimaging|data|edam																
http://edamontology.org/data__RDz7WLs6GBWl7rPjqfjKBT0	Region texture			FALSE			http://edamontology.org/data__RCRp3XI62rYeU9aZHw4yBvj													data__RDz7WLs6GBWl7rPjqfjKBT0																																			bioimaging|data|edam																
http://edamontology.org/data__Rj7rpnkJ6SPPwWkQ4x3Wik	Object characteristics	Object data|Object feature|Object measurement		FALSE			http://edamontology.org/data_0006													data__Rj7rpnkJ6SPPwWkQ4x3Wik																												Object data			Object feature	Object measurement			bioimaging|data|edam																
http://edamontology.org/data__RPhipiN98zgq3wqXj4ESkT	Object shape			FALSE			http://edamontology.org/data__Rj7rpnkJ6SPPwWkQ4x3Wik													data__RPhipiN98zgq3wqXj4ESkT																																			bioimaging|data|edam																
http://edamontology.org/data_0006	Data	Data record|Data set|Datum	"Information, represented in an information artefact (data record) that is 'understandable' by dedicated computational tools that can use the data as input or produce it as output."	FALSE			http://www.w3.org/2002/07/owl#Thing		beta12orEarlier											data_0006																														"Information, represented in an information artefact (data record) that is 'understandable' by dedicated computational tools that can use the data as input or produce it as output."	Data record	Data set|Datum			navigation|http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data|http://purl.obolibrary.org/obo/edam#bioimaging																
http://edamontology.org/data_1D_dataset	1D image			FALSE			http://edamontology.org/data_Image_geometry													data_1D_dataset																																			bioimaging|data|edam																
http://edamontology.org/data_2D_dataset	2D image			FALSE			http://edamontology.org/data_Image_geometry|http://edamontology.org/data_Image													data_2D_dataset																																			bioimaging|data|edam																
http://edamontology.org/data_3D_dataset	3D image	Image stack		FALSE			http://edamontology.org/data_Image_geometry|http://edamontology.org/data_Image													data_3D_dataset																																	Image stack		bioimaging|data|edam																
http://edamontology.org/data_4D_dataset	nD image			FALSE			http://edamontology.org/data_Image_geometry													data_4D_dataset																																			bioimaging|data|edam																
http://edamontology.org/data_Colour	Colour	rgb|channel		FALSE			http://edamontology.org/data__RCDMkOl5gzD23OFsPf6vr4a													data_Colour																																rgb|channel			bioimaging|data|edam																
http://edamontology.org/data_Greyscale	Greyscale			FALSE			http://edamontology.org/data__RCDMkOl5gzD23OFsPf6vr4a													data_Greyscale																																			bioimaging|data|edam																
http://edamontology.org/data_Image	Image	Image data|Image set|Set of images		FALSE			http://edamontology.org/data_0006													data_Image																															Image data	Image set|Set of images			bioimaging|data|edam																
http://edamontology.org/data_Image_geometry	Image data properties			FALSE			http://edamontology.org/data__R80aNLt4YY02ByptWQa2yrY													data_Image_geometry																																			bioimaging|data|edam																
http://edamontology.org/data_Image_histogram	Image histogram			FALSE			http://edamontology.org/data_0006													data_Image_histogram																																			bioimaging|data|edam																
http://edamontology.org/data_Intensity	Intensity			FALSE			http://edamontology.org/data__RCjZhkavxxifpvdNiasVVCc													data_Intensity																																			bioimaging|data|edam																
http://edamontology.org/data_Time	Time			FALSE			http://edamontology.org/data__R7sy3JByrUsyKaGNYQ1eSQF													data_Time																																			bioimaging|data|edam																
http://edamontology.org/data_Time-lapse_data	Time-lapse data			FALSE			http://edamontology.org/data__R7sy3JByrUsyKaGNYQ1eSQF													data_Time-lapse_data																																			bioimaging|data|edam																
http://edamontology.org/data_Trajectory	Object trajectory			FALSE			http://edamontology.org/data__Rj7rpnkJ6SPPwWkQ4x3Wik													data_Trajectory																																			bioimaging|data|edam																
http://edamontology.org/data_Volume	Volume			FALSE			http://edamontology.org/data__R7Xr4YLUfGpHoI3FnAzgMnA													data_Volume																																			bioimaging|data|edam																
http://edamontology.org/format_1915	Format	Data model|File format		FALSE			http://www.w3.org/2002/07/owl#Thing													format_1915																												Data model				File format			navigation|bioimaging|formats|edam																
http://edamontology.org/format_avi	avi	.avi		FALSE			http://edamontology.org/format_1915													format_avi																															.avi				bioimaging|formats|edam																
http://edamontology.org/format_Binary_format	Binary format			FALSE			http://edamontology.org/format_1915													format_Binary_format																																			bioimaging|formats|edam																
http://edamontology.org/format_csv	csv			FALSE			http://edamontology.org/format_1915													format_csv																																			bioimaging|formats|edam																
http://edamontology.org/format_dat	dat	.dat		FALSE			http://edamontology.org/format_1915													format_dat																															.dat				bioimaging|formats|edam																
http://edamontology.org/format_hdf5	hdf5			FALSE			http://edamontology.org/format_1915													format_hdf5																																			bioimaging|formats|edam																
http://edamontology.org/format_hdr	hdr	.hdr		FALSE			http://edamontology.org/format_1915													format_hdr																															.hdr				bioimaging|formats|edam																
http://edamontology.org/format_img	img	.img		FALSE			http://edamontology.org/format_1915													format_img																															.img				bioimaging|formats|edam																
http://edamontology.org/format_ims	ims	.ims		FALSE			http://edamontology.org/format_1915													format_ims																															.ims				bioimaging|formats|edam																
http://edamontology.org/format_ism	ism			FALSE			http://edamontology.org/format_1915													format_ism																																			bioimaging|formats|edam																
http://edamontology.org/format_jpg	jpg	.jpg		FALSE			http://edamontology.org/format_1915													format_jpg																															.jpg				bioimaging|formats|edam																
http://edamontology.org/format_mpeg	mpeg			FALSE			http://edamontology.org/format_1915													format_mpeg																																			bioimaging|formats|edam																
http://edamontology.org/format_raw	raw	.raw		FALSE			http://edamontology.org/format_1915													format_raw																															.raw				bioimaging|formats|edam																
http://edamontology.org/format_roi	Region of interest	ROI		FALSE			http://edamontology.org/data_0006													format_roi																															ROI				bioimaging|formats|edam																
http://edamontology.org/format_scn	scn	.scn		FALSE			http://edamontology.org/format_1915													format_scn																															.scn				bioimaging|formats|edam																
http://edamontology.org/format_sm2	sm2	.sm2		FALSE			http://edamontology.org/format_1915													format_sm2																															.sm2				bioimaging|formats|edam																
http://edamontology.org/format_sm3	sm3	.sm3		FALSE			http://edamontology.org/format_1915													format_sm3																															.sm3				bioimaging|formats|edam																
http://edamontology.org/format_stk	stk	.stk		FALSE			http://edamontology.org/format_1915													format_stk																															.stk				bioimaging|formats|edam																
http://edamontology.org/format_tif	tif			FALSE			http://edamontology.org/format_1915													format_tif																																			bioimaging|formats|edam																
http://edamontology.org/format_tiff	tiff	.tiff		FALSE			http://edamontology.org/format_1915													format_tiff																															.tiff				bioimaging|formats|edam																
http://edamontology.org/format_txt	txt	.txt		FALSE			http://edamontology.org/format_1915													format_txt																															.txt				bioimaging|formats|edam																
http://edamontology.org/format_vsi	vsi	.vsi		FALSE			http://edamontology.org/format_1915													format_vsi																															.vsi				bioimaging|formats|edam																
http://edamontology.org/format_xml	xml	.xml		FALSE			http://edamontology.org/format_1915													format_xml																															.xml				bioimaging|formats|edam																
http://edamontology.org/operation___Clustering	Clustering			FALSE			http://edamontology.org/operation_0004													operation___Clustering																																			operations|bioimaging|edam																
http://edamontology.org/operation___Colocalisation_analysis	Colocalisation analysis	Colocalization analysis		FALSE			http://edamontology.org/operation_3443													operation___Colocalisation_analysis																															Colocalization analysis				operations|bioimaging|edam																
http://edamontology.org/operation___Image_convolution	Image convolution			FALSE			http://edamontology.org/operation___Image_filtering													operation___Image_convolution																																			operations|bioimaging|edam																
http://edamontology.org/operation___Image_filtering	Image filtering			FALSE			http://edamontology.org/operation_Image_processing													operation___Image_filtering																																			operations|bioimaging|edam																
http://edamontology.org/operation___Image_validation	Image validation			FALSE			http://edamontology.org/operation___Validation													operation___Image_validation																																			operations|bioimaging|edam																
http://edamontology.org/operation___Optimisation_or_refinement	Optimisation or refinement	Optimization or refinement		FALSE			http://edamontology.org/operation_0004													operation___Optimisation_or_refinement																															Optimization or refinement				operations|bioimaging|edam																
http://edamontology.org/operation___Parameter_optimisation	Parameter optimisation	Parameter optimization|Model optimisation|Model training		FALSE			http://edamontology.org/operation___Optimisation_or_refinement													operation___Parameter_optimisation																															Parameter optimization				operations|bioimaging|edam																Model optimisation|Model training
http://edamontology.org/operation___Pixel-based_colocalisation	Pixel-based colocalisation	Pixel-based colocalization|Manders coefficient		FALSE			http://edamontology.org/operation___Colocalisation_analysis													operation___Pixel-based_colocalisation																															Pixel-based colocalization				operations|bioimaging|edam																Manders coefficient
http://edamontology.org/operation___Trajectory_analysis	Trajectory analysis			FALSE			http://edamontology.org/operation_Image_tracking													operation___Trajectory_analysis																																			operations|bioimaging|edam																
http://edamontology.org/operation___Validation	Validation			FALSE			http://edamontology.org/operation_0004												bioimaging	operation___Validation																																			operations|edam																
http://edamontology.org/operation___Wound-healing_analysis	Wound-healing analysis	Wound-healing assay|Scratch assay		FALSE			http://edamontology.org/operation_Image_tracking													operation___Wound-healing_analysis																																																			Wound-healing assay|Scratch assay
http://edamontology.org/operation__R1NVO6hpWWcs99UiEFiOfK	Tomography reconstruction			FALSE			http://edamontology.org/operation_Image_reconstruction													operation__R1NVO6hpWWcs99UiEFiOfK																																			operations|bioimaging|edam																
http://edamontology.org/operation__R3BGvVm77d5vFMF6f28ZiW	Geometric distortion correction	Lens distortion correction		FALSE			http://edamontology.org/operation__R7MFwdgojfmkZ07yWbdcda0													operation__R3BGvVm77d5vFMF6f28ZiW																																Lens distortion correction			operations|bioimaging|edam																
http://edamontology.org/operation__R7MFwdgojfmkZ07yWbdcda0	Image correction	Instrument aberration correction|Image pre-processing|Image preprocessing	"Image correction is the removal of aberrations originating from the imaging instrument, lighting, or sample."	FALSE			http://edamontology.org/operation_Image_processing													operation__R7MFwdgojfmkZ07yWbdcda0																														"Image correction is the removal of aberrations originating from the imaging instrument, lighting, or sample."		Instrument aberration correction	Image pre-processing|Image preprocessing		operations|bioimaging|edam																
http://edamontology.org/operation__R7qn3VpJyCAPGqdW6ia3h2d	Spectral unmixing	Color deconvolution		FALSE			http://edamontology.org/operation__R7MFwdgojfmkZ07yWbdcda0													operation__R7qn3VpJyCAPGqdW6ia3h2d																																	Color deconvolution		operations|bioimaging|edam																
http://edamontology.org/operation__R8ANfLkuHu47r739AkhxrId	Affine			FALSE			http://edamontology.org/operation_Geometrical_transform													operation__R8ANfLkuHu47r739AkhxrId																																			operations|bioimaging|edam																
http://edamontology.org/operation__R8EfungVXA0oQM2Ac7YY5eu	Single molecule localisation	PAINT image reconstruction|STORM image reconstruction|SMLM image reconstruction|Single-molecule localisation microscopy image reconstruction|PALM image reconstruction		FALSE			http://edamontology.org/operation_Image_reconstruction|http://edamontology.org/operation__RBNng13hEB0CJD5VzSKqrfB													operation__R8EfungVXA0oQM2Ac7YY5eu																																PAINT image reconstruction|STORM image reconstruction|SMLM image reconstruction|Single-molecule localisation microscopy image reconstruction|PALM image reconstruction			operations|bioimaging|edam																
http://edamontology.org/operation__R8V95OnTjs7fCvVXWjaXrh6	Structured illumination reconstruction			FALSE			http://edamontology.org/operation_Image_reconstruction													operation__R8V95OnTjs7fCvVXWjaXrh6																																			operations|bioimaging|edam																
http://edamontology.org/operation__R9EjejimBB0tmnQRmZt0RhA	Object registration			FALSE			http://edamontology.org/operation_Image_registration													operation__R9EjejimBB0tmnQRmZt0RhA																																			operations|bioimaging|edam																
http://edamontology.org/operation__R9FvNkpDIaqZQhLVlPsHisj	Synthetic image generation			FALSE			http://edamontology.org/operation__RDFFD5jBfUw74a3vJeBAGB1													operation__R9FvNkpDIaqZQhLVlPsHisj																																			operations|bioimaging|edam																
http://edamontology.org/operation__R9Qf06vxvFj2UbAk7pW3IMG	Filament tracing			FALSE			http://edamontology.org/operation_3443													operation__R9Qf06vxvFj2UbAk7pW3IMG																																			operations|bioimaging|edam																
http://edamontology.org/operation__R9Vc5BV3ZMcLHEL6WEceXbY	Rigid registration	Rigid image registration		FALSE			http://edamontology.org/operation__RLtOI0poPsYRHzgXbAcr2E													operation__R9Vc5BV3ZMcLHEL6WEceXbY																															Rigid image registration				operations|bioimaging|edam																
http://edamontology.org/operation__RBh3vNecu5XlIPh3kbMM4Cq	Drift correction			FALSE			http://edamontology.org/operation__R7MFwdgojfmkZ07yWbdcda0													operation__RBh3vNecu5XlIPh3kbMM4Cq																																			operations|bioimaging|edam																
http://edamontology.org/operation__RBNng13hEB0CJD5VzSKqrfB	Isolated object detection			FALSE			http://edamontology.org/operation_Object_detection													operation__RBNng13hEB0CJD5VzSKqrfB																																			operations|bioimaging|edam																
http://edamontology.org/operation__RBPObKBKIMwjdLygBOlvojW	Selective plane illumination microscopy reconstruction			FALSE			http://edamontology.org/operation_Image_reconstruction													operation__RBPObKBKIMwjdLygBOlvojW																																			operations|bioimaging|edam																
http://edamontology.org/operation__RBUpi1JSczmHQSf8Q8fDzG5	Collective object tracking	Wound healing analysis|Scratch assay analysis		FALSE			http://edamontology.org/operation_Image_tracking													operation__RBUpi1JSczmHQSf8Q8fDzG5																																	Wound healing analysis|Scratch assay analysis		operations|bioimaging|edam																
http://edamontology.org/operation__RBYLqCqN4rP7Jy5m5mxpTeM	Frequency analysis	Fast Fourier transform|FFT|Wavelet transform	ToDo: Add Wikipedia links	FALSE			http://edamontology.org/operation_Image_processing|http://edamontology.org/operation_2945													operation__RBYLqCqN4rP7Jy5m5mxpTeM																																	Fast Fourier transform|FFT|Wavelet transform		operations|bioimaging|edam																
http://edamontology.org/operation__RCi5QWhY2hXnO46smg6bHRQ	Detector gain correction		multiplicative	FALSE			http://edamontology.org/operation__R7MFwdgojfmkZ07yWbdcda0													operation__RCi5QWhY2hXnO46smg6bHRQ																																			operations|bioimaging|edam																
http://edamontology.org/operation__RCPVGO34XrwrJasQ5yWBg9k	Deformable registration	Elastic registration		FALSE			http://edamontology.org/operation_Image_registration													operation__RCPVGO34XrwrJasQ5yWBg9k																																Elastic registration			operations|bioimaging|edam																
http://edamontology.org/operation__RDetoixS3xEu0agR2CebaoB	Pattern recognition			FALSE			http://edamontology.org/operation_2423													operation__RDetoixS3xEu0agR2CebaoB																																			operations|bioimaging|edam																
http://edamontology.org/operation__RDFFD5jBfUw74a3vJeBAGB1	Image generation			FALSE			http://edamontology.org/operation_3429													operation__RDFFD5jBfUw74a3vJeBAGB1																																			operations|bioimaging|edam																
http://edamontology.org/operation__RDggamr21qZlMqkQmyOdC7l	Landmark detection			FALSE			http://edamontology.org/operation_Object_detection													operation__RDggamr21qZlMqkQmyOdC7l																																			operations|bioimaging|edam																
http://edamontology.org/operation__RDlueIjODveP3FyOknVAqo5	Detector bias correction	Camera bias correction	Additive	FALSE			http://edamontology.org/operation__R7MFwdgojfmkZ07yWbdcda0													operation__RDlueIjODveP3FyOknVAqo5																																Camera bias correction			operations|bioimaging|edam																
http://edamontology.org/operation__RDr8xcZEa4L3mZsslmhhee8	Chromatic aberration correction	Channel shift correction		FALSE			http://edamontology.org/operation__R7MFwdgojfmkZ07yWbdcda0													operation__RDr8xcZEa4L3mZsslmhhee8																																	Channel shift correction		operations|bioimaging|edam																
http://edamontology.org/operation__RDsrmC9l0bZw9kGJzGMCyY8	Isolated object tracking			FALSE			http://edamontology.org/operation_Image_tracking													operation__RDsrmC9l0bZw9kGJzGMCyY8																																			operations|bioimaging|edam																
http://edamontology.org/operation__RDyyXyhf1oHK93opXhEnRND	Image denoising	Noise reduction		FALSE			http://edamontology.org/operation_Image_reconstruction|http://edamontology.org/operation_Image_enhancement													operation__RDyyXyhf1oHK93opXhEnRND																															Noise reduction				operations|bioimaging|edam																
http://edamontology.org/operation__Rhb4iyLUQWY4HnhPpuqNNI	Image crop			FALSE			http://edamontology.org/operation_Image_processing													operation__Rhb4iyLUQWY4HnhPpuqNNI																																			operations|bioimaging|edam																
http://edamontology.org/operation__RLtOI0poPsYRHzgXbAcr2E	Affine registration	Affine image registration		FALSE			http://edamontology.org/operation_Image_registration													operation__RLtOI0poPsYRHzgXbAcr2E																															Affine image registration				operations|bioimaging|edam																
http://edamontology.org/operation__RyCFuPLOeGxpcGjYbWcWWD	Isolated object classification			FALSE			http://edamontology.org/operation_2990|http://edamontology.org/operation_3443													operation__RyCFuPLOeGxpcGjYbWcWWD																																			operations|bioimaging|edam																
http://edamontology.org/operation_0004	Operation	Function|Computational procedure|Computational subroutine|Computational operation|Function (programming)|Lambda abstraction|Mathematical function|Mathematical operation|Computational method|Computational tool|sumo:Function|Process	"A function that processes a set of inputs and results in a set of outputs, or associates arguments (inputs) with values (outputs).|Special cases are: a) An operation that consumes no input (has no input arguments). Such operation is either a constant function, or an operation depending only on the underlying state. b) An operation that may modify the underlying state but has no output. c) The singular-case operation with no input or output, that still may modify the underlying state."	FALSE			http://www.w3.org/2002/07/owl#Thing		beta12orEarlier											operation_0004																												Function		"A function that processes a set of inputs and results in a set of outputs, or associates arguments (inputs) with values (outputs)."		Computational procedure|Computational subroutine|Computational operation|Function (programming)|Lambda abstraction|Mathematical function|Mathematical operation|Computational method	Computational tool|sumo:Function|Process		navigation|edam|http://purl.obolibrary.org/obo/edam#operations|http://purl.obolibrary.org/obo/edam#bioimaging																
http://edamontology.org/operation_0226	Annotation			FALSE			http://edamontology.org/operation_0004												bioimaging?	operation_0226																																			operations|edam																
http://edamontology.org/operation_0337	Visualisation	Plotting	"Re-occurs among biii.info tags (visualisation, rendering, viewer, classification, ...)"	FALSE			http://edamontology.org/operation_0004												bioimaging?	operation_0337																																Plotting			operations|edam																
http://edamontology.org/operation_2409	Data handling			FALSE			http://edamontology.org/operation_0004												bioimaging	operation_2409																																			operations|edam																
http://edamontology.org/operation_2423	Prediction and recognition		"ToDo: Clear up relation between Classification, Clustering, and Prediction and recognition (also in main EDAM)"	FALSE			http://edamontology.org/operation_0004												bioimaging	operation_2423																																			operations|edam																
http://edamontology.org/operation_2928	Alignment construction			FALSE			http://edamontology.org/operation_0004												bioimaging	operation_2928																																			operations|edam																
http://edamontology.org/operation_2945	Analysis			FALSE			http://edamontology.org/operation_0004												bioimaging	operation_2945																																			operations|edam																
http://edamontology.org/operation_2990	Classification		"Re-occurs among biii.info tags (visualisation, rendering, viewer, classification, ...)|ToDo: Clear up relation between Classification, Clustering, and Prediction and recognition (also in main EDAM)"	FALSE			http://edamontology.org/operation_0004												bioimaging?	operation_2990																																			operations|edam																
http://edamontology.org/operation_3096	Editing			FALSE			http://edamontology.org/operation_2409												bioimaging	operation_3096																																			operations|edam																
http://edamontology.org/operation_3429	Generation			FALSE			http://edamontology.org/operation_0004												bioimaging	operation_3429																																			operations|edam																
http://edamontology.org/operation_3434	Conversion			FALSE			http://edamontology.org/operation_0004												bioimaging	operation_3434																																			operations|edam																
http://edamontology.org/operation_3441	Plotting		"Visualisation vs Plotting vs Image generation. Should these be merged? Which of these should be the top concept, and which sub-concepts, and which narrow synonyms?"	FALSE			http://edamontology.org/operation_0337												bioimaging	operation_3441																																			operations|edam																
http://edamontology.org/operation_3443	Image analysis	General image analysis		FALSE			http://edamontology.org/operation_2945													operation_3443																																General image analysis			operations|bioimaging|edam																
http://edamontology.org/operation_3553	Image annotation			FALSE			http://edamontology.org/operation_0226													operation_3553																																			operations|bioimaging|edam																
http://edamontology.org/operation_Active_contours	Active contours	Active contour model|Active contour models|Snakes		FALSE			http://edamontology.org/operation_Image_segmentation													operation_Active_contours																															Active contour model|Active contour models	Snakes			operations|bioimaging|edam																
http://edamontology.org/operation_Adaptative_thresholding	Adaptative thresholding			FALSE			http://edamontology.org/operation_Image_segmentation													operation_Adaptative_thresholding																																			operations|bioimaging|edam																
http://edamontology.org/operation_Anaglyph	Anaglyph			FALSE			http://edamontology.org/operation_Image_visualisation													operation_Anaglyph																																			operations|bioimaging|edam																
http://edamontology.org/operation_Cell_counting	Object counting			FALSE			http://edamontology.org/operation_3443													operation_Cell_counting																																			operations|bioimaging|edam																
http://edamontology.org/operation_Cell_segmentation	Cell segmentation			FALSE			http://edamontology.org/operation_Image_segmentation													operation_Cell_segmentation																																			operations|bioimaging|edam																
http://edamontology.org/operation_Cell_tracking	Cell tracking			FALSE			http://edamontology.org/operation__RDsrmC9l0bZw9kGJzGMCyY8													operation_Cell_tracking																																			operations|bioimaging|edam																
http://edamontology.org/operation_Closing	Closing			FALSE			http://edamontology.org/operation_Morphological_operations													operation_Closing																																			operations|bioimaging|edam																
